Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Regulation Of Renal Sodium Excretion (GO:0035813),2/5,0.0044579834849749,0.0435961723810177,0,0,30.33333333333333,164.1961153744115,NPR1;AGTR1
GO_Biological_Process_2023,Regulation Of Type B Pancreatic Cell Proliferation (GO:0061469),2/5,0.0044579834849749,0.0435961723810177,0,0,30.33333333333333,164.1961153744115,NR4A1;NR4A3
GO_Biological_Process_2023,Cholesterol Import (GO:0070508),2/5,0.0044579834849749,0.0435961723810177,0,0,30.33333333333333,164.1961153744115,CD36;LDLR
GO_Biological_Process_2023,Response To Heparin (GO:0071503),2/5,0.0044579834849749,0.0435961723810177,0,0,30.33333333333333,164.1961153744115,EGR1;SLIT2
GO_Biological_Process_2023,Regulation Of Epithelial Cell Migration (GO:0010632),5/50,0.0043800000536511,0.0435961723810177,0,0,5.080145719489982,27.588780594898505,MACF1;HYAL1;EMP2;PTN;SASH1
GO_Biological_Process_2023,Regulation Of Cell Growth (GO:0001558),12/227,0.003998280922013,0.0435961723810177,0,0,2.571827242524917,14.201349137573148,SOCS2;HYAL1;NPR1;HYAL2;FHL1;AGTR1;FAM107A;LTBP4;WFDC1;AGTR2;SLIT2;FBP1
GO_Biological_Process_2023,Actin Filament Polymerization (GO:0030041),4/31,0.0042566842275668,0.0435961723810177,0,0,6.763932156455521,36.926096542674,DIAPH2;FAM107A;ARHGAP6;WASF3
GO_Biological_Process_2023,Negative Regulation Of Chemotaxis (GO:0050922),4/31,0.0042566842275668,0.0435961723810177,0,0,6.763932156455521,36.926096542674,SEMA5A;SEMA6A;SEMA3G;SLIT2
GO_Biological_Process_2023,Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0090092),4/31,0.0042566842275668,0.0435961723810177,0,0,6.763932156455521,36.926096542674,LTBP4;FOLR1;DKK3;ENG
GO_Biological_Process_2023,Regulation Of Response To Biotic Stimulus (GO:0002831),4/31,0.0042566842275668,0.0435961723810177,0,0,6.763932156455521,36.926096542674,FGR;GATA6;CD36;CD55
GO_Biological_Process_2023,Negative Regulation Of Amyloid-Beta Formation (GO:1902430),3/16,0.0045456556548645,0.0435961723810177,0,0,10.519096288327058,56.73562210611447,NTRK2;RTN1;CLU
GO_Biological_Process_2023,Mesonephric Tubule Development (GO:0072164),3/16,0.0045456556548645,0.0435961723810177,0,0,10.519096288327058,56.73562210611447,TCF21;SLIT2;FGFR2
GO_Biological_Process_2023,Vasculature Development (GO:0001944),3/16,0.0045456556548645,0.0435961723810177,0,0,10.519096288327058,56.73562210611447,CDH5;FOXF1;TCF21
GO_Biological_Process_2023,Regulation Of Steroid Biosynthetic Process (GO:0050810),3/16,0.0045456556548645,0.0435961723810177,0,0,10.519096288327058,56.73562210611447,EGR1;BMP2;FGFR4
GO_Biological_Process_2023,Regulation Of Osteoblast Proliferation (GO:0033688),3/16,0.0045456556548645,0.0435961723810177,0,0,10.519096288327058,56.73562210611447,BMP2;NPR3;FGFR2
GO_Biological_Process_2023,Regulation Of Fatty Acid Oxidation (GO:0046320),3/16,0.0045456556548645,0.0435961723810177,0,0,10.519096288327058,56.73562210611447,NR4A3;ACADL;PDK4
GO_Biological_Process_2023,Positive Regulation Of Epithelial Cell Migration (GO:0010634),7/95,0.0045218079921105,0.0435961723810177,0,0,3.645989304812834,19.68412517393648,EDN1;RRAS;ANGPT1;HYAL1;ANXA3;TEK;SASH1
GO_Biological_Process_2023,Positive Regulation Of Establishment Of Endothelial Barrier (GO:1903142),2/5,0.0044579834849749,0.0435961723810177,0,0,30.33333333333333,164.1961153744115,CDH5;CLDN5
GO_Biological_Process_2023,Positive Regulation Of Endothelial Cell Development (GO:1901552),2/5,0.0044579834849749,0.0435961723810177,0,0,30.33333333333333,164.1961153744115,CDH5;CLDN5
GO_Biological_Process_2023,Plasma Membrane Raft Organization (GO:0044857),2/5,0.0044579834849749,0.0435961723810177,0,0,30.33333333333333,164.1961153744115,COLEC12;EMP2
GO_Biological_Process_2023,Plasma Membrane Raft Assembly (GO:0044854),2/5,0.0044579834849749,0.0435961723810177,0,0,30.33333333333333,164.1961153744115,CAV2;EMP2
GO_Biological_Process_2023,Negative Regulation Of Monocyte Chemotaxis (GO:0090027),2/5,0.0044579834849749,0.0435961723810177,0,0,30.33333333333333,164.1961153744115,DUSP1;SLIT2
GO_Biological_Process_2023,Negative Regulation Of Cellular Extravasation (GO:0002692),2/5,0.0044579834849749,0.0435961723810177,0,0,30.33333333333333,164.1961153744115,PTGER4;CXCL12
GO_Biological_Process_2023,Epithelial Tube Formation (GO:0072175),2/5,0.0044579834849749,0.0435961723810177,0,0,30.33333333333333,164.1961153744115,PODXL;FGFR2
GO_Biological_Process_2023,Response To Peptidoglycan (GO:0032494),2/5,0.0044579834849749,0.0435961723810177,0,0,30.33333333333333,164.1961153744115,IL6;IRAK3
GO_Biological_Process_2023,Endothelin Receptor Signaling Pathway (GO:0086100),2/5,0.0044579834849749,0.0435961723810177,0,0,30.33333333333333,164.1961153744115,EDN1;EDNRB
GO_Biological_Process_2023,Positive Regulation Of Lymphocyte Migration (GO:2000403),3/16,0.0045456556548645,0.0435961723810177,0,0,10.519096288327058,56.73562210611447,CXCL12;NEDD9;JAM2
GO_Biological_Process_2023,Antibacterial Humoral Response (GO:0019731),5/49,0.0040117603273132,0.0435961723810177,0,0,5.195869704066426,28.673537636048145,DMBT1;SLPI;PLA2G1B;SFTPD;HLA-E
GO_Biological_Process_2023,Negative Regulation Of Programmed Cell Death (GO:0043069),17/381,0.0040381978728809,0.0435961723810177,0,0,2.161180987687012,11.91233614947254,KANK2;ANGPT1;WFS1;GATA6;PIK3R1;SMAD6;TBX3;AQP1;SOCS2;IL6;MECOM;GRK5;CAT;CAPN3;TEK;GAS6;CRYAB
GO_Biological_Process_2023,Regulation Of Long-Term Synaptic Potentiation (GO:1900271),4/31,0.0042566842275668,0.0435961723810177,0,0,6.763932156455521,36.926096542674,TYROBP;FAM107A;PTN;AGER
GO_Biological_Process_2023,Negative Regulation Of Cell Adhesion (GO:0007162),6/72,0.0046120029271759,0.0440623664273269,0,0,4.161758429364063,22.38648580941361,SEMA5A;SEMA6A;ANGPT1;DUSP1;PODXL;FBLN1
GO_Biological_Process_2023,Regulation Of Cholesterol Efflux (GO:0010874),4/32,0.0047831071883116,0.0447230617137239,0,0,6.522029372496662,34.8450174330373,ABCA3;CAV1;PTCH1;ABCA8
GO_Biological_Process_2023,Positive Regulation Of Protein Localization To Cell Periphery (GO:1904377),5/51,0.0047716937875553,0.0447230617137239,0,0,4.969453212503819,26.561995499881533,RAMP3;EPB41L2;PIK3R1;SORBS1;SPTBN1
GO_Biological_Process_2023,Regulation Of Protein Metabolic Process (GO:0051246),7/96,0.0047891845474438,0.0447230617137239,0,0,3.604838070059485,19.2548644854274,EDN1;EDNRB;WFS1;AGTR1;KLF4;LDLR;KLF2
GO_Biological_Process_2023,Muscle Cell Development (GO:0055001),4/32,0.0047831071883116,0.0447230617137239,0,0,6.522029372496662,34.8450174330373,RAMP2;DMD;MYH11;ENG
GO_Biological_Process_2023,Negative Regulation Of G1/S Transition Of Mitotic Cell Cycle (GO:2000134),4/32,0.0047831071883116,0.0447230617137239,0,0,6.522029372496662,34.8450174330373,KANK2;FHL1;FAM107A;KLF4
GO_Biological_Process_2023,Negative Regulation Of Fat Cell Differentiation (GO:0045599),4/32,0.0047831071883116,0.0447230617137239,0,0,6.522029372496662,34.8450174330373,WWTR1;BMP2;IL6;FERMT2
KEGG_2021_Human,Aldosterone synthesis and secretion,7/98,0.0053594585194137,0.0460913432669579,0,0,3.5252488687782804,18.43314677658374,NR4A2;NR4A1;ADCY9;NPR1;AGTR1;LDLR;KCNK3
GO_Biological_Process_2023,Regulation Of MAPK Cascade (GO:0043408),11/204,0.0049550385241966,0.0460985606520768,0,0,2.6229800745818617,13.921074181249134,TGFBR3;NTRK2;BMP2;IL6;RRAS;DUSP1;CAV2;CAV1;ADRB2;TEK;FGFR2
GO_Biological_Process_2023,Negative Regulation Of Protein Phosphorylation (GO:0001933),9/149,0.0051555420049936,0.0473455540039507,0,0,2.95258358662614,15.553274440437743,WWTR1;PID1;CAMK2N1;CAV1;FBLN1;DMD;SLIT2;SMAD6;ENG
