probe,log2FC,pvalue,padj
209396_s_at,1.264262095378605,1.9227950413523082e-09,1.504940003739146e-08
202357_s_at,1.0211354650263882,2.0142882038490363e-09,1.5699329851825138e-08
217480_x_at,1.203543261586205,2.0432429854258905e-09,1.590831007835259e-08
211644_x_at,1.5603280324408875,2.1141247960093126e-09,1.642002189943378e-08
209921_at,1.284455602884588,2.1493998904315994e-09,1.66765591081084e-08
211643_x_at,1.3394966496791003,2.659075798272551e-09,2.032442351470338e-08
216560_x_at,1.257505655500351,2.8707805664046154e-09,2.1773180177397565e-08
202923_s_at,1.189598141176635,3.463664237223282e-09,2.584756537108051e-08
206224_at,1.0808918822202669,3.560223292205337e-09,2.6523723042531434e-08
211430_s_at,1.15074780919071,3.6545750821978776e-09,2.7135920212134392e-08
205466_s_at,1.087227453268473,6.48474227941977e-09,4.609234839308158e-08
219936_s_at,1.3110007373954966,7.638859895565569e-09,5.3645356146513574e-08
221795_at,-1.0694327613564383,8.388341234913739e-09,5.833876645991974e-08
214916_x_at,1.0937311890608736,8.459860158106481e-09,5.8781123761486343e-08
213094_at,-1.018273909716397,8.616226846009564e-09,5.975579919378497e-08
204463_s_at,-1.0101571427769196,8.703175823958754e-09,6.030250835984854e-08
211637_x_at,1.3031259488209006,8.826701854325874e-09,6.102556544211711e-08
214768_x_at,1.4182140239349064,1.1425386161643402e-08,7.773797857706869e-08
209395_at,1.2048841281217477,1.2103911127484964e-08,8.192935955460129e-08
217148_x_at,1.2494497727600287,1.309182380450982e-08,8.810785558317496e-08
206754_s_at,-1.303966851877199,1.4746805779977237e-08,9.82370921360935e-08
217378_x_at,1.2626254391249123,1.523472999034525e-08,1.0139650190408102e-07
216576_x_at,1.4493843479123854,1.526441213261635e-08,1.015637191851568e-07
217258_x_at,1.1504578055858543,1.6549695031631924e-08,1.0962451081743583e-07
216401_x_at,1.2640983734521445,2.0748834311134127e-08,1.3550594224941435e-07
201925_s_at,-1.031794284340254,2.0767443604965928e-08,1.3558773684425895e-07
216853_x_at,1.090598119213583,2.0834628702145697e-08,1.3582739361319853e-07
201645_at,1.1298516879134421,2.7239039319094456e-08,1.7391619287890597e-07
211645_x_at,1.5409319352290662,2.7351012930898035e-08,1.745311057099659e-07
205174_s_at,1.0476392298096409,2.8956356930158136e-08,1.8382749329763926e-07
202672_s_at,-1.3735341798877538,3.168706435481931e-08,1.9996682385115792e-07
217227_x_at,1.0328876198434216,3.5385599071399515e-08,2.214880067719088e-07
216207_x_at,1.1216337134229413,4.01293865297877e-08,2.488044296169336e-07
205267_at,1.2423982990014073,4.037630066373388e-08,2.501960811151229e-07
208792_s_at,-1.1298210668750883,4.793862883750852e-08,2.932243937376345e-07
202953_at,-1.0102796466417967,4.827368757227629e-08,2.949708922683335e-07
210145_at,1.2399816764785365,4.966335823138567e-08,3.029424066438453e-07
