Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Mitotic Spindle Assembly (GO:0090307),6/44,1.1708494780456762e-05,0.0014113239477673,0,0,13.662049861495843,155.13525298265162,TPX2;KIF2A;PRC1;KIF4A;BIRC5;KIF11
GO_Biological_Process_2023,Skin Development (GO:0043588),7/68,1.4500090332585138e-05,0.0016229743965114,0,0,9.961363472232252,110.98309348918556,DSP;COL1A1;ST14;COL3A1;COL1A2;COL5A1;COL5A2
KEGG_2021_Human,Protein digestion and absorption,8/103,2.849482810376353e-05,0.0016621983060528,0,0,7.329669306008384,76.71076475308642,COL1A1;COL3A1;COL1A2;COL5A1;COL11A1;COL5A2;COL10A1;KCNN4
GO_Biological_Process_2023,Regulation Of Mitotic Cell Cycle (GO:0007346),9/125,1.6604404161655266e-05,0.0017346067547542,0,0,6.775862068965517,74.57407132122471,CDC20;CCNB1;GMNN;RCC1;NEK2;DLGAP5;CKS1B;AURKA;MAD2L1
GO_Biological_Process_2023,Positive Regulation Of Mitotic Sister Chromatid Separation (GO:1901970),4/15,2.2527068053266496e-05,0.0022062447274667,0,0,31.233201581027668,334.2200231973151,CDC20;UBE2C;BIRC5;DLGAP5
GO_Biological_Process_2023,Regulation Of Mitotic Cell Cycle Spindle Assembly Checkpoint (GO:0090266),4/17,3.856151471858423e-05,0.00335699408689,0,0,26.42541806020067,268.56828354936766,CCNB1;BIRC5;NDC80;MAD2L1
GO_Biological_Process_2023,Regulation Of Ubiquitin Protein Ligase Activity (GO:1904666),4/17,3.856151471858423e-05,0.00335699408689,0,0,26.42541806020067,268.56828354936766,CDC20;UBE2C;UBE2S;MAD2L1
GO_Biological_Process_2023,Positive Regulation Of Mitotic Nuclear Division (GO:0045840),5/35,5.1206505023966586e-05,0.0042231891248713,0,0,14.363901018922853,141.91022827027112,CDC20;UBE2C;NUSAP1;DLGAP5;AURKA
GO_Biological_Process_2023,Tetrahydrofolate Interconversion (GO:0035999),3/8,8.478711704264393e-05,0.0063112701408049,0,0,51.32727272727273,481.2120162774826,MTHFD2;SHMT2;TYMS
GO_Biological_Process_2023,Positive Regulation Of Ubiquitin Protein Ligase Activity (GO:1904668),3/8,8.478711704264393e-05,0.0063112701408049,0,0,51.32727272727273,481.2120162774826,CDC20;UBE2C;UBE2S
GO_Biological_Process_2023,Regulation Of Apoptotic Process (GO:0042981),21/705,8.860749399981467e-05,0.0063112701408049,0,0,2.750473601844988,25.66547815234556,TOP2A;TFAP2A;IGFBP3;FHL2;MMP9;NME1;HSPD1;COMP;GREM1;TOX3;GCLC;MELK;TRIM2;CEACAM5;ANP32E;CDK1;PMAIP1;BIRC5;ECT2;SOX4;MAD2L1
GO_Biological_Process_2023,Positive Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901992),6/63,9.365521353394564e-05,0.0063807704177257,0,0,9.099261311172668,84.40375119129354,CDC20;CCNB1;RRM2;UBE2C;CDK1;DLGAP5
GO_Biological_Process_2023,Regulation Of Attachment Of Spindle Microtubules To Kinetochore (GO:0051988),3/9,0.00012608223796900763,0.0079028346758973,0,0,42.77056277056277,384.0187561664093,CCNB1;NEK2;ECT2
GO_Biological_Process_2023,Purine Nucleobase Metabolic Process (GO:0006144),3/9,0.00012608223796900763,0.0079028346758973,0,0,42.77056277056277,384.0187561664093,SHMT2;HPRT1;PAICS
GO_Biological_Process_2023,Mitotic Spindle Elongation (GO:0000022),3/10,0.00017856259917840985,0.0093269197637522,0,0,36.65862708719852,316.3848956627044,PRC1;KIF4A;BIRC5
